11:46:48.496 INFO  [main] org.apache.spark.SparkContext - Running Spark version 2.2.3
11:46:48.735 WARN  [main] org.apache.hadoop.util.NativeCodeLoader - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
11:46:48.832 INFO  [main] org.apache.spark.SparkContext - Submitted application: dw_release_customer_job
11:46:48.860 INFO  [main] org.apache.spark.SecurityManager - Changing view acls to: mx
11:46:48.861 INFO  [main] org.apache.spark.SecurityManager - Changing modify acls to: mx
11:46:48.862 INFO  [main] org.apache.spark.SecurityManager - Changing view acls groups to: 
11:46:48.863 INFO  [main] org.apache.spark.SecurityManager - Changing modify acls groups to: 
11:46:48.864 INFO  [main] org.apache.spark.SecurityManager - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(mx); groups with view permissions: Set(); users  with modify permissions: Set(mx); groups with modify permissions: Set()
11:46:49.587 INFO  [main] org.apache.spark.util.Utils - Successfully started service 'sparkDriver' on port 62461.
11:46:49.602 INFO  [main] org.apache.spark.SparkEnv - Registering MapOutputTracker
11:46:49.617 INFO  [main] org.apache.spark.SparkEnv - Registering BlockManagerMaster
11:46:49.620 INFO  [main] org.apache.spark.storage.BlockManagerMasterEndpoint - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
11:46:49.620 INFO  [main] org.apache.spark.storage.BlockManagerMasterEndpoint - BlockManagerMasterEndpoint up
11:46:49.630 INFO  [main] org.apache.spark.storage.DiskBlockManager - Created local directory at C:\Users\mx\AppData\Local\Temp\blockmgr-ba9f3e3d-a4cf-4689-ac97-4a277f0307ce
11:46:49.653 INFO  [main] org.apache.spark.storage.memory.MemoryStore - MemoryStore started with capacity 1988.7 MB
11:46:49.696 INFO  [main] org.apache.spark.SparkEnv - Registering OutputCommitCoordinator
11:46:49.785 INFO  [main] org.spark_project.jetty.util.log - Logging initialized @3955ms
11:46:49.853 INFO  [main] org.spark_project.jetty.server.Server - jetty-9.3.z-SNAPSHOT
11:46:49.873 INFO  [main] org.spark_project.jetty.server.Server - Started @4044ms
11:46:49.894 INFO  [main] org.spark_project.jetty.server.AbstractConnector - Started ServerConnector@39fc6b2c{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
11:46:49.894 INFO  [main] org.apache.spark.util.Utils - Successfully started service 'SparkUI' on port 4040.
11:46:49.934 INFO  [main] org.spark_project.jetty.server.handler.ContextHandler - Started o.s.j.s.ServletContextHandler@4a67318f{/jobs,null,AVAILABLE,@Spark}
11:46:49.935 INFO  [main] org.spark_project.jetty.server.handler.ContextHandler - Started o.s.j.s.ServletContextHandler@2237bada{/jobs/json,null,AVAILABLE,@Spark}
11:46:49.936 INFO  [main] org.spark_project.jetty.server.handler.ContextHandler - Started o.s.j.s.ServletContextHandler@5710768a{/jobs/job,null,AVAILABLE,@Spark}
